   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   4.250000000E+00   1.753096166E+02   3.097930730E-02   1.121398688E-01   7.827440322E-03  -1.423765705E-01   8.308489672E-02   6.848018186E+02  -1.743456864E+01  -4.678349826E+02   9.437744853E-01   2.478957063E-01  -2.139795938E-01   4.527883726E-02
   4.300000000E+00   1.759275795E+02   2.594499995E-02   1.115400679E-01   7.993895714E-03  -1.412816644E-01   8.269172868E-02   6.927246857E+02  -1.761643274E+01  -4.640536333E+02   9.428649920E-01   2.477971840E-01  -2.178289139E-01   4.639748589E-02
   4.350000000E+00   1.765568453E+02   1.962153671E-02   1.109578127E-01   8.257463728E-03  -1.401788441E-01   8.227734837E-02   7.006444645E+02  -1.779771630E+01  -4.601940591E+02   9.419447849E-01   2.477005088E-01  -2.216459247E-01   4.751383110E-02
   4.400000000E+00   1.771972665E+02   1.219935266E-02   1.103911274E-01   8.607563609E-03  -1.390685625E-01   8.183747604E-02   7.085611486E+02  -1.797841262E+01  -4.562562953E+02   9.410137166E-01   2.476080329E-01  -2.254301989E-01   4.862789907E-02
   4.450000000E+00   1.778486961E+02   3.909714596E-03   1.098378078E-01   9.030370301E-03  -1.379513056E-01   8.136861205E-02   7.164747310E+02  -1.815851393E+01  -4.522403770E+02   9.400717207E-01   2.475218428E-01  -2.291813089E-01   4.973957135E-02
   4.500000000E+00   1.785109865E+02  -4.983786995E-03   1.092954883E-01   9.509329387E-03  -1.368276194E-01   8.086817201E-02   7.243852044E+02  -1.833801154E+01  -4.481463397E+02   9.391188290E-01   2.474436856E-01  -2.328988384E-01   5.084858417E-02
   4.550000000E+00   1.791839904E+02  -1.419493116E-02   1.087615905E-01   1.002577141E-02  -1.356981216E-01   8.033458963E-02   7.322925614E+02  -1.851689616E+01  -4.439742192E+02   9.381551855E-01   2.473749085E-01  -2.365823940E-01   5.195453247E-02
   4.600000000E+00   1.798675606E+02  -2.342540915E-02   1.082333197E-01   1.055960428E-02  -1.345634908E-01   7.976738302E-02   7.401967940E+02  -1.869515814E+01  -4.397240517E+02   9.371810549E-01   2.473164129E-01  -2.402316171E-01   5.305687894E-02
   4.650000000E+00   1.805615500E+02  -3.237584452E-02   1.077077955E-01   1.109005957E-02  -1.334244477E-01   7.916718176E-02   7.480978944E+02  -1.887278777E+01  -4.353958739E+02   9.361968275E-01   2.472686248E-01  -2.438461950E-01   5.415496783E-02
   4.700000000E+00   1.812658119E+02  -4.075689471E-02   1.071822735E-01   1.159646638E-02  -1.322817399E-01   7.853571321E-02   7.559958542E+02  -1.904977555E+01  -4.309897230E+02   9.352030188E-01   2.472314824E-01  -2.474258705E-01   5.524804342E-02
